URL,Question Date,Question,Answer Date,Answer,Doctor,Specialization,Location
https://www.miodottore.it/domande-risposte/ho-62-anni-un-compagno-che-mi-vuole-bene-e-con-il-quale-sto-bene-una-casa-mia-e-niente-di-cui-possa,,"Ho 62 anni ,un compagno che mi vuole bene e con il quale sto bene,una casa mia,e niente di cui possa lamentarmi.Ma io sono caratterialmente una persona scontenta e due mesi fa è insorto il pianto,poi apatia e sempre più giù in cocomitanza con la primavera.Non è la prima volta che mi capita,ma dopo 2 mesi di pianti continui dono andata da uno psichistra che mi ha prescritto Brintellex 10 gocce.Dopo 2 settimane io sto peggio e piango ancora di più,anche perché mi danno fastidio gli effetti collateralj,ansia,mal di testa,di pancia.Insomma stavo meglio prima.Cosa faccio,? Interrompo o vado avanti? Lo psichiatra mi ha consigliato dei colloqui con una psicologa che io ho già iniziato ma ripeto piango adesso tutto il giono.grazie per la risposta",,"Gentile signora,
Si coglie che sta vivendo una situazione di difficoltà, tuttavia può essere opportuno attendere ancora un po' di tempo prima che le terapie che ha messo in moto abbiano un effetto. Un percorso psicologico può richiedere anche un tempo lungo e gli effetti positivi non arrivano sempre immediatamente, anzi. Continui i colloqui psicologici ed eventualmente parli di tutto questo anche con lo psicologo. Invece, per quanto rigiarda la terapia farmacologica, se ha dei dubbi si rivolga direttamente allo psichiatra.
",Alessia Vaudano,"Psicologo, Psicoterapeuta, Psicologo clinico",Torino
https://www.miodottore.it/domande-risposte/buonasera-ieri-sera-sotto-cura-della-neurologa-ho-iniziato-ad-assumere-duloxentina-per-emicran,,"Buonasera ieri sera sotto cura della neurologa ho iniziato ad assumere duloxentina per emicranie e per un po' di ansia.
Purtroppo stamattina presto mi sono svegliata con ansia, pressione veramente alta,nausea,ronzio nelle orecchie e pensieri poco piacevoli.
Io non riesco a continuare a prendere questa pillola infatti questa settimana cercherò di chiamare la neurologa ma vorrei sapere questi effetti collaterali quando spariranno perché non mi sento molto bene.",,"In genere la duloxetina è un farmaco abbastanza sicuro. Effetti collaterali quali nausea, sbalzi pressori e lieve ansia iniziale, svaniscono dopo le prime settimane di trattamento.",Giuseppe Gervasio,"Psichiatra, Psicoterapeuta",Frattamaggiore
https://www.miodottore.it/domande-risposte/buongiorno-il-paliperidone-1-compressa-fa-ingrassare-grazie,,"Buongiorno il paliperidone 1 compressa fa ingrassare ?
Grazie",,"Buongiorno, l'aumento di peso è un effetto indesiderato che può verificarsi, come anche la perdita di peso.
E' sempre utile avere un quadro clinico completo per una corretta valutazione.
Grazie a lei",Fabio Misiano,"Psichiatra, Psicoterapeuta",Roma
https://www.miodottore.it/domande-risposte/io-prendo-trilafon-e-trittico-e-eutirox-e-sono-tanta-dimagrita-e-non-ho-appetito-da-cosa,,"Io prendo trilafon e trittico e eutirox e sono tanta dimagrita e non ho appetito da cosa dipende e sono stanca ma non riesco fermarmi,grazie",,"Buongiorno, se non ha fatto un recente esame della funzionalità tiroidea, ne riporti i risultati al suo specialista psichiatra, che potrà tenere in considerazione eventuali elementi internistici nella valutazione del suo stato e di quello che serve prescrivere. Stia tranquilla e faccia risolvere la cosa ai suoi medici. Un saluto",Ermanno Gioacchini,"Psichiatra, Psicoterapeuta",Roma
https://www.miodottore.it/domande-risposte/salve-ho-iniziato-a-prendere-ezequa-x-3-giorni-a-causa-di-un-ansia-somatizzata-poi-sono-p,,Salve ho iniziato a prendere ezequa x 3 giorni a causa di un'ansia somatizzata...poi sono passata a ezequa...ma dopo aver preso questo farmaco ho spesso episodi di diarrea improvvisi...io già soffro di colon irritabile e questo disagio mi fa star male ancora di più... è normale tutto questo?,,"Gentile utente,

Ezequa, che contiene il principio attivo duloxetina, può effettivamente causare effetti collaterali gastrointestinali, tra cui diarrea.
È comprensibile che, soffrendo già di colon irritabile, questi episodi possano peggiorare il suo stato di salute generale e aumentare il disagio.

È importante discutere di questi sintomi con il suo medico o psichiatra.
Esistono alternative che possono essere considerate.",Simone Fossella,"Psichiatra, Psicoterapeuta",Roma
https://www.miodottore.it/domande-risposte/buonasera-per-curare-attacchi-di-ansia-il-mio-medico-mi-ha-prescritto-en-il-mattino-e-la-sera-alp,,"Buonasera, per curare attacchi di ansia il mio medico mi ha prescritto En il mattino e la sera + Alprazolam al bisogno + un miorilassante perché la tensione muscolare causata dall’ansia ha anche peggiorato la mia cervicale. Mi ha anche suggerito di prendere la Tachipirina nel caso di dolore forte. Di solito però per la cervicale prendo il Ketodol che mi fa più effetto. Posso prenderlo considerando che ho già preso la Tachipirina per qualche giorno e soprattutto visto gli altri farmaci che già assumo? Grazie mille",,"Può prenderlo, l'unico accorgimento che Le consiglierei è di preferire la Tachipirina per l'assenza di gastrolesivitá rispetto al Ketodol.",Marina Quarta Colosso,"Psicoterapeuta, Medico di medicina generale",Torino
https://www.miodottore.it/domande-risposte/buongiorno-sono-ormai-quasi-5-settimane-che-assumo-il-citalopram-a40-mg-al-giorno-ma-nn-sento-grossi,,Buongiorno sono ormai quasi 5 settimane che assumo il citalopram a40 mg al giorno ma nn sento grossi benefici nel senso che come stamattina ho avuto una discreta crisi d ansia ..nn so cosa dovrei fare ..so che dovrei andare ancora dallo psichiatra,,"Salve sì,

Deve tornare dallo specialista che glielo ha prescritto per capire perché non sta funzionando.

Buona serata",Liliana Todini,"Psichiatra, Psicoterapeuta",Roma
https://www.miodottore.it/domande-risposte/salve-dottore-sto-assumendo-da-un-paio-di-giorni-efexor-per-ansia-e-attacchi-di-panico-il-mio,,"Salve dottore sto assumendo da un paio di giorni efexor per ansia e attacchi di panico. Il mio medico intanto vuole usare questo dosaggio per un mese e vedere come va,nel caso alzare la dose.Ho mestruazioni dolorose e i primi giorni prendo o brufen o voltfast due volte al di.Posso prenderle o ci sono effetti collaterali con efexor?",,"Salve, in generale tutti i farmaci interagiscono tra di loro, provocando una piccola riduzione di efficacia dell'efexor. Contatti il suo medico curante, che sulla base della sua storia clinica, saprà darle conferma della possibilità di assumere antiinfiammatori oppure no.",Milena Cannuccia,Neurologo,Cesenatico
https://www.miodottore.it/domande-risposte/salve-sono-in-premenopausa-e-sto-soffrendo-di-una-brutta-depressione-da-anni-in-cura-con-exfesor-ch,,Salve sono in premenopausa e sto soffrendo di una brutta depressione. Da anni in cura con exfesor che ora non mi funziona più. Sono passata al cymbalta da 3 giorni e mi sembra di stare peggio. EU normale?,,"Buonasera, con tutta la buona volontà di darle un utile consiglio, lei fornisce dati troppo esigui anche per un piccolo suggerimento, tranne che discutere bene con il suo specialista curante la situazione. La sostituzione di una specialità con un'altra non assicura comunque da subito un positivo riscontro, non trattandosi di farmaci ""sintomatici"" -che agiscono solo sul sintomo. Un saluto",Ermanno Gioacchini,"Psichiatra, Psicoterapeuta",Roma
https://www.miodottore.it/domande-risposte/salve-ho-sempre-mal-di-testa-e-piango-quasi-tutti-i-giorni-6-mesi-fa-e-mancata-la-mia-mamma-con-me,,"Salve,ho sempre mal di testa e piango quasi tutti i giorni (6 mesi fa e mancata la mia mamma con me ) mi sento sola,parlavo con la mia mamma tutti i giorni piu volte al giorno. Mi sento in colpa di non aver fatto di piu per salvare la mia mamma. Vorrei tanto vederla e parlare con lei. Devo andare dal psicologo oppure psichiatra? Grazie",,"Gentilissima, le faccio le mie condoglianze per il doloroso lutto. Perdere la madre fa sempre molto male ma lei stessa avverte che la sua sofferenza è troppa da sopportare. Chiedere aiuto le farà bene. L'intervento psicologico l'aiuterà a elaborare il lutto, un sostegno psichiatrico potrebbe essere un supporto nelle fasi più acute della sua sofferenza. Potrebbe capire da sola se questo supporto sia necessario o potrebbe valutarlo insieme al terapeuta che deciderà di avere a fianco nel suo percorso. Resto a disposizione se lo desidera e la saluto cordialmente, dott.ssa Manuela Leonessa",Manuela Leonessa,Psicologo,Torino
